Screenshot,Title,File Link,Scene,Type,Link,Artist Name,Date,Major,Genre/Medium,Description
Picture,Psyche Vision,Images/ModularLab/PsycheVision,Modular Lab,2D,https://psyche.ssl.berkeley.edu/galleries/artwork/,J Meyer,Jan 27th 2023,Biology & Spanish,Digital Painting / Procreate," This piece, which I’ve titled “Psyche Vision,” represents the drive and motivation being put into the Psyche mission, and keeping our eyes set on the ultimate goal. To represent this, I drew a human eye, using the color palette of the Psyche mission, and in the eye’s reflection the Psyche asteroid and orbiter are visible. I wanted to emphasize the connection between humans and our instinctive curiosity and drive, which is why I placed the asteroid in the position of the eye’s pupil. To create this piece, I used the Procreate application, where I drew a rough sketch of my composition. I then blocked out the parts that would be in shadow and the parts the would be in light. I wanted the right side of the image, the side to which the pupil is looking, to be illuminated with light to show how Psyche is a source of inspiration and motivation. I used the appropriate Psyche mission colors for the light and shadow, and finished the piece by adding highlights along various portions of the skin and the eye/asteroid."
Picture,Heart of Gold,Images/ModularLab/HeartOfGold,Modular Lab,Skybox,https://psyche.ssl.berkeley.edu/galleries/artwork/page/3/,S Hollasch,November 09 2020,Industrial Design,Digital Illustration ,"The Psyche asteroid is hypothesized to be the remains of a protoplanet formed in the early solar system that underwent collisions that shed it of its outer layers, leaving exposed core material behind. The Psyche asteroid was named after the titular figure in Greek mythology – the goddess of the soul. I was inspired by the name and the story of the asteroid’s creation – the idea that Psyche is the exposed heart of a long-vanished planet. This illustration shows the luminous metal core just after the moment of impact, when its light first breaks through a cloud of debris"
Picture,Birth of Psyche,Images/ModularLab/BirthOfPsyche,Modular Lab,2D,https://psyche.ssl.berkeley.edu/galleries/artwork/page/13/,A Thornhill,December 15th 2020,Graphic Information Technology,Adobe Illustrator ,"My digital work Birth of Psyche is a vector image I made in Adobe Illustrator. I was inspired by the insight studying Psyche will give us into our own planet. We are getting a deeper understanding of how planets form. I wanted to represent the birth of Psyche and this knew found knowledge through light, which appears through the collision of the two asteroids. Psyche was the goddess of the soul as well, so I wanted to represent her as a spirit by making her more opaque"
Picture,Psyche's Core,Images/ModularLab/PsychesCore,Modular Lab,2D,https://psyche.ssl.berkeley.edu/galleries/artwork/page/22/,S Tennant,March 18th 2025,Illustration and Creative Writing,Digital Collage,"After learning about the Psyche Mission team’s desire to make their work’s collaborative nature more publicly known, I knew that would be the basis for my next project. I made and sent a questionnaire to the Psyche Mission team and my fellow interns, where they gave me their reasons as to why they think the Psyche Mission is important. By using the responses of others involved with Psyche to inform my art, I was able to introduce a collaborative element to my artwork, which would reflect the collaboration that occurs among scientists and the Psyche Mission team. Their responses largely involved a yearning for discovery and exploration and how Psyche’s similarities to Earth’s core could help further our understanding of our own planet. I hoped to capture these sentiments in my art through the use of color and symbolism."
Picture,Psyche Team Collage/Poster,Images/ModularLab/PsycheTeamCollage,Modular Lab,2D,https://psyche.ssl.berkeley.edu/galleries/,E Stabilito,April 26th 2023,Bussines (Sustainability),Digital,This mission is only as great as the people behind it! Here’s to the Psyche Team and their incredible spirit and wisdom.
Picture,The Arrival,Images/ModularLab/TheArrival,Modular Lab,2D,https://psyche.ssl.berkeley.edu/galleries/artwork/page/13/,S Angel Pitts,April 4th 2024,Illustration,Digital Illustration ,"Inspired by space movie posters, “The Arrival” pictures the eventual meeting of the Psyche asteroid and the spacecraft."
Picture,Trans World Airlines,Images/ModularLab/TransWorldAirlines,Modular Lab,2D,https://psyche.ssl.berkeley.edu/galleries/artwork/page/14/,C Ponce,April 17th 2023,Biological Engineering,Photography/Graphic Design,"In a search for inspiration, I ended up at Surplus Sid’s Military Surplus Shack in Carrboro, NC. Initially reluctant to join me, my friends were worried about the characters that would populate a run-down military surplus store in the South. We ended up being the only people in the store, other than Surplus Sid. He was a kind, tall man with a long, white beard who followed me around to explain items around the shop. Out of the corner of my eye, I saw schematics for the SR-71 on his wall. I asked if he was a fan of aerospace engineering, and he replied yes. He explained to me that when he was my age, he made a list of 108 things that he wanted to do before he died. The 108th thing was walking on the hills of the Moon. He never got to do that, but he explained he was able to come close, seeing the glow of our atmosphere from the edge of space. Above the documents, there was a picture of a much younger man in what looked like a space suit. Sid explained that he worked in military intelligence, and was friends with a pilot of one of only a few SR-71 planes with a co-pilot seat. We continued to talk and I explained my interest and space and work with Psyche Inspired, asking if there were any old magazines he had. He found some LIFE magazines published as far back as the 40s. I rushed home to read the magazines, finding a TWA ad that I immediately was inspired by. I decided to recreate the ad with my friend, Tanner, before realizing it would be great for the Psyche Inspired program."
Picture,The Pieces of Psyche,Images/ModularLab/ThePiecesOfPsyche,Modular Lab,2D,https://psyche.ssl.berkeley.edu/galleries/artwork/page/13/,I Garcia,December 15th 2025,Art and Design,"Digital Painting, Procreate, Adobe Photoshop","This work, “The Pieces of Psyche,” is a digital poster that illustrates the key instruments that will be used to scan the Psyche asteroid. These include the magnetometer, multispectral imager, and gamma-ray and neutron spectrometer. While there are other instruments on the craft, these three are the main ones that will be used to analyze the asteroid. The three figures surround the main craft and are illustrated at the same size as the craft in order to visualize everything better. Each part has a short and clear description of what it is made to do when it reaches its destination and the information it will gather from the asteroid. They are also labeled as to where on the craft they are located. The purpose of this is to be an entry-way to the Psyche mission for those who just want a quick introduction to the project. Since many NASA and JPL missions have a lot of information to learn about, I wanted to make a poster that condenses the data in order for an audience to be intrigued rather than overwhelmed. I feel that there are two purposes to this piece: One is to introduce the mission so that an individual will be excited to research more about Psyche. The other is if someone only wants a quick overview of a portion of what the Psyche mission is about. As someone who lives at the intersection between the art and science worlds, I have seen both sides of the spectrum stray away from each other when they do not see an overlap between their studies. I want to use this project as a building block for understanding scientific topics in a visual form."
Picture,Sippin' On Psyche,Images/ModularLab/SippinOnPsyche,Modular Lab,3D-AI,https://psyche.ssl.berkeley.edu/galleries/artwork/page/13/,E Stabilito,January 23rd 2023,Bussines (Sustainability),Acrylic paint on ceramic mug,"This is a ceramic mug depicting Psyche asteroid and orbiter in space. Subtle stars represent imagination while two firey columns depict the thrill and nature of discovery. There is an illuminating quality to the world of science and exploration. Against a dark, unknown backdrop, the bright yellow, pink, and orange (Psyche logo) colored columns channel this energy of discovery and illuminate both the asteroid and orbiter in their wake; one product of human innovation, the other of the universe itself."
Picture,How Big Is 16 Psyche?,Images/ModularLab/HowBigIs16Psyche,Modular Lab,2D,https://psyche.ssl.berkeley.edu/galleries/artwork/page/13/,G Marshall Wolff,June 6 2022,Physics,Infographic/Digital/Illustrator and Photoshop,"This project is meant to give a more vivid idea of how large the (16) Psyche asteroid is in comparison to things people actually have experience with. Although size comparisons on larger scales are useful, it can be difficult to grasp the size of something extremely large when comparing it to something else extremely large. However, we also had to ensure we didn’t spread a misconception that the asteroid was going to hit Earth. So, although a view of the asteroid in a perspective from Earth was exciting, it was also terrifying. For this route, we decided to use the view of New York City and Hawaii from space, images that people are familiar with and can potentially relate to real-life experiences of seeing them from planes. The mass and density of the asteroid were also helpful in providing a more physical connection. Finally, adding in a portion that shows how we know the size of Psyche was included to help it feel more real and concrete."
